time,delta_seg_1,delta_seg_2,delta_seg_3
2016-01-01 00:00:00,-0.0015845063340761412,-0.04807508526763038,-0.08392648156589955
2016-01-01 01:00:00,0.004370318127941086,-0.04576603785377298,-0.08047922989588463
2016-01-01 02:00:00,0.0053759112312272705,-0.05143603825278509,-0.07379469609840472
2016-01-01 03:00:00,0.00018910637597002733,-0.05532438199527778,-0.07809235271693982
2016-01-01 04:00:00,-0.001499435246606562,-0.054308839892615035,-0.07115114625159724
2016-01-01 05:00:00,0.0018159130984491956,-0.054866898624691296,-0.08018159671805691
2016-01-01 06:00:00,0.005671321381124361,-0.04818945811124653,-0.07917047472399241
2016-01-01 07:00:00,-0.0011323563462479758,-0.04369289838290036,-0.08318291383689669
2016-01-01 08:00:00,-0.0028927956879106764,-0.056598320151484915,-0.08751633143819693
2016-01-01 09:00:00,0.0046430527405623145,-0.05935196115651342,-0.08580233189985398
2016-01-01 10:00:00,-0.00013662784176304843,-0.05701659104608958,-0.07596566288496898
2016-01-01 11:00:00,-0.006239797602757169,-0.04807645679254735,-0.0815722329056624
2016-01-01 12:00:00,-0.002018147061814801,-0.04884127597734922,-0.07999898102551306
2016-01-01 13:00:00,-0.009232483805198033,-0.05403759244092998,-0.0831834373686956
2016-01-01 14:00:00,5.5744332041252065e-05,-0.046398668881907024,-0.08314143880464209
2016-01-01 15:00:00,0.0016873243920192404,-0.0565713342763573,-0.08012375911527936
2016-01-01 16:00:00,0.006793629421234959,-0.05536558038181072,-0.07469123271173017
2016-01-01 17:00:00,0.020622185444064023,-0.049698390700604334,-0.07882472545952068
2016-01-01 18:00:00,0.004721250082426742,-0.04354654055981377,-0.06616125233394765
2016-01-01 19:00:00,-0.005443228271741818,-0.0469940264063885,-0.08245392679108621
2016-01-01 20:00:00,0.0016198124084201293,-0.05238993793448765,-0.07613497005478653
2016-01-01 21:00:00,0.0007121642371592518,-0.04857344049017709,-0.07733152740910088
2016-01-01 22:00:00,0.002829951076583681,-0.04440805161061645,-0.07150370452342247
2016-01-01 23:00:00,-0.005347548615340925,-0.04399953535742729,-0.08413818870405942
2016-01-02 00:00:00,-0.0016116918693280802,-0.04254692578127994,-0.08072833841210614
2016-01-02 01:00:00,-0.007434399341535447,-0.04733081222041258,-0.0762891610187657
2016-01-02 02:00:00,-0.0003590178016595891,-0.04689211912142821,-0.07977509033214414
2016-01-02 03:00:00,-0.009501880085661663,-0.04741140000786748,-0.08154681763648675
2016-01-02 04:00:00,-0.0007300045936351474,-0.04220632962770354,-0.07592494216277323
2016-01-02 05:00:00,0.007082452868633515,-0.05597504817189336,-0.08623435817388203
2016-01-02 06:00:00,-0.001047939556853894,-0.055791189177977984,-0.08641551607656806
2016-01-02 07:00:00,-0.0007088013146067107,-0.04968100230380601,-0.07110214975681317
2016-01-02 08:00:00,-0.0002254428216166282,-0.05026790903860634,-0.07824985424920294
2016-01-02 09:00:00,-0.008956215902871878,-0.052076823503728886,-0.0829933722112961
2016-01-02 10:00:00,-0.0025040018962990684,-0.058937152779481417,-0.07443621706513692
2016-01-02 11:00:00,-0.005571932204941343,-0.04601458534715652,-0.09193418945561815
2016-01-02 12:00:00,0.0160164322799341,-0.05533356511159804,-0.07574626784462712
2016-01-02 13:00:00,0.00018214786964598773,-0.05131176239320401,-0.07503785292706122
2016-01-02 14:00:00,-0.0003673598501715558,-0.05494787698420933,-0.07257283995461239
2016-01-02 15:00:00,0.00518927380261891,-0.05619667978998388,-0.07931628720797856
2016-01-02 16:00:00,0.002990759442822899,-0.049375242615096626,-0.08159439448697581
2016-01-02 17:00:00,0.008985223344585513,-0.044887184905851196,-0.0760928107942046
2016-01-02 18:00:00,0.01326322953442638,-0.04946914573694339,-0.07610841569081372
2016-01-02 19:00:00,0.006148569916265334,-0.04444634853102214,-0.08098973962105782
2016-01-02 20:00:00,0.00045588264596885253,-0.05513452040797129,-0.07500203671444738
2016-01-02 21:00:00,0.003207717828563439,-0.05668821304952709,-0.07589325797959279
2016-01-02 22:00:00,-0.0019423324327707547,-0.04904970714958223,-0.08320574024321192
2016-01-02 23:00:00,-0.00030308352740848754,-0.05441395319625286,-0.07298925040421533
2016-01-03 00:00:00,0.004165625712103438,-0.041852887453932786,-0.07710507902116559
2016-01-03 01:00:00,0.0016090554722227868,-0.044828025746272426,-0.08897823150062845
2016-01-03 02:00:00,-0.00483925110541461,-0.04610273348509075,-0.08040420118182923
2016-01-03 03:00:00,-0.002246231084520267,-0.05963551457673888,-0.07583470584271701
2016-01-03 04:00:00,-0.0031149869818394293,-0.048858013633195196,-0.08040878874646451
2016-01-03 05:00:00,-0.00045347847712418066,-0.04617890191714924,-0.08526174986536716
2016-01-03 06:00:00,-0.014402071136242589,-0.04966830193148275,-0.07009571693630734
2016-01-03 07:00:00,0.004022806938869916,-0.052429820558047124,-0.08141407956106872
2016-01-03 08:00:00,0.004233779663272985,-0.0566936743663663,-0.07452506276596482
2016-01-03 09:00:00,-0.006317063732342865,-0.05332243109910806,-0.08285658358347125
2016-01-03 10:00:00,0.004496569648519744,-0.046483640697572715,-0.08395648717982118
2016-01-03 11:00:00,0.006418046015187695,-0.0523699499105873,-0.07411637864616838
2016-01-03 12:00:00,0.0109135785068728,-0.043238704385093474,-0.08182899724021264
2016-01-03 13:00:00,-0.004323203107314266,-0.05628012599793386,-0.07454920321232505
2016-01-03 14:00:00,0.002711684213516641,-0.05601270329385977,-0.08145254932710111
2016-01-03 15:00:00,0.0005589731764261696,-0.05619029991301505,-0.07783522974328272
2016-01-03 16:00:00,0.002695185393892796,-0.05222119995316099,-0.07484984495682012
2016-01-03 17:00:00,-4.0254058090050115e-05,-0.046138551354171,-0.0688418093494596
2016-01-03 18:00:00,0.011058447341992572,-0.05553337045387985,-0.07226667132195996
2016-01-03 19:00:00,0.010619482506667444,-0.05396709979700798,-0.06843610508357034
2016-01-03 20:00:00,0.012276920092830101,-0.043589270223843735,-0.07469780976738716
2016-01-03 21:00:00,0.005783703361450954,-0.044867775185161496,-0.06964154089093788
2016-01-03 22:00:00,0.01069227195340483,-0.0537339047086377,-0.07358488273120045
2016-01-03 23:00:00,0.00825961889222393,-0.04386836392108662,-0.07718184833014075
2016-01-04 00:00:00,0.0032905689070628075,-0.048084806206564634,-0.0806930205518901
2016-01-04 01:00:00,-0.003456384165532067,-0.04991698839137593,-0.07764702063520013
2016-01-04 02:00:00,0.0029403792318949407,-0.0522419965769394,-0.08295546441087875
2016-01-04 03:00:00,0.0034796054636219154,-0.05897915140817911,-0.0810229983225833
2016-01-04 04:00:00,-0.00686919592280788,-0.051786119809316244,-0.07838615658166359
2016-01-04 05:00:00,-0.0065785064362120504,-0.051855393292016605,-0.08641910716114709
2016-01-04 06:00:00,-0.006216515059560779,-0.06474293891134209,-0.08274370471031689
2016-01-04 07:00:00,-0.00849885067015288,-0.0537591911253642,-0.07955313414061871
2016-01-04 08:00:00,0.004287671816343819,-0.05646646404741951,-0.07460550011251177
2016-01-04 09:00:00,-0.01218438591887272,-0.0604115698020985,-0.08143727968193837
2016-01-04 10:00:00,0.011432221683704613,-0.04871741285071174,-0.07976669908387668
2016-01-04 11:00:00,-0.011618289672404414,-0.04345273287072948,-0.06911220870129142
2016-01-04 12:00:00,-0.001032052014398932,-0.05706190274788836,-0.08165798075044628
2016-01-04 13:00:00,0.002480395630408916,-0.046143707252944366,-0.07958075976254775
2016-01-04 14:00:00,-0.014756961298445725,-0.04180290760483962,-0.07949980592950934
2016-01-04 15:00:00,0.010043229610293025,-0.054778243042415964,-0.07521427194267827
2016-01-04 16:00:00,0.006442471411057138,-0.05375402243971539,-0.07490607778036507
2016-01-04 17:00:00,-0.0018626953032133686,-0.04746969407534418,-0.07588422203628375
2016-01-04 18:00:00,-0.0027697464648529513,-0.046700457666129847,-0.0820049735526156
2016-01-04 19:00:00,0.0006076190201238507,-0.044180008006129756,-0.0745888470241094
2016-01-04 20:00:00,0.005661596622498877,-0.04588173866733081,-0.06881231549263478
2016-01-04 21:00:00,0.004365854256708435,-0.05308892658530562,-0.07935800062241549
2016-01-04 22:00:00,-0.0006697263606889603,-0.04195887036281998,-0.07635300537776712
2016-01-04 23:00:00,0.010795039548266772,-0.057727127588246385,-0.08140321561285524
2016-01-05 00:00:00,0.005114168139098485,-0.04670130641315262,-0.08344788222430832
2016-01-05 01:00:00,-0.011346757850209332,-0.046788258242611236,-0.07557640209611804
