date,f107,source
2013-10-01,141.4,HISTORICAL_RECONSTRUCTED
2013-10-02,142.2,HISTORICAL_RECONSTRUCTED
2013-10-03,135.2,HISTORICAL_RECONSTRUCTED
2013-10-04,140.8,HISTORICAL_RECONSTRUCTED
2013-10-05,156.3,HISTORICAL_RECONSTRUCTED
2013-10-06,147.4,HISTORICAL_RECONSTRUCTED
2013-10-07,141.4,HISTORICAL_RECONSTRUCTED
2013-10-08,143.4,HISTORICAL_RECONSTRUCTED
2013-10-09,143.4,HISTORICAL_RECONSTRUCTED
2013-10-10,141.6,HISTORICAL_RECONSTRUCTED
2013-10-11,123.7,HISTORICAL_RECONSTRUCTED
2013-10-12,138.5,HISTORICAL_RECONSTRUCTED
2013-10-13,141.6,HISTORICAL_RECONSTRUCTED
2013-10-14,124.1,HISTORICAL_RECONSTRUCTED
2013-10-15,121.2,HISTORICAL_RECONSTRUCTED
2013-10-16,125.9,HISTORICAL_RECONSTRUCTED
2013-10-17,131.8,HISTORICAL_RECONSTRUCTED
2013-10-18,116.4,HISTORICAL_RECONSTRUCTED
2013-10-19,114.0,HISTORICAL_RECONSTRUCTED
2013-10-20,111.2,HISTORICAL_RECONSTRUCTED
2013-10-21,123.7,HISTORICAL_RECONSTRUCTED
2013-10-22,119.1,HISTORICAL_RECONSTRUCTED
2013-10-23,123.4,HISTORICAL_RECONSTRUCTED
2013-10-24,118.1,HISTORICAL_RECONSTRUCTED
2013-10-25,120.7,HISTORICAL_RECONSTRUCTED
2013-10-26,110.0,HISTORICAL_RECONSTRUCTED
2013-10-27,126.1,HISTORICAL_RECONSTRUCTED
2013-10-28,117.0,HISTORICAL_RECONSTRUCTED
2013-10-29,130.8,HISTORICAL_RECONSTRUCTED
2013-10-30,138.9,HISTORICAL_RECONSTRUCTED
2013-10-31,146.3,HISTORICAL_RECONSTRUCTED
